None,ticker,date,adj_close
0,WMT,2016-12-30,67.742044969125
1,WMT,2016-12-29,67.879253972246
2,WMT,2016-12-28,67.928257187646
3,WMT,2016-12-27,68.310482267767
4,WMT,2016-12-23,68.153671978486
5,WMT,2016-12-22,68.202675193887
6,WMT,2016-12-21,69.819781302091
7,WMT,2016-12-20,70.388218600732
8,WMT,2016-12-19,70.153003166811
9,WMT,2016-12-16,69.56496458201
10,WMT,2016-12-15,69.66297101281
11,WMT,2016-12-14,69.917787732891
12,WMT,2016-12-13,70.368617314572
13,WMT,2016-12-12,70.241208954532
14,WMT,2016-12-09,68.682906704808
15,WMT,2016-12-08,68.937723424888
16,WMT,2016-12-07,69.192540144969
17,WMT,2016-12-06,68.472392751055
18,WMT,2016-12-05,68.063660446401
19,WMT,2016-12-02,68.978442271103
20,WMT,2016-12-01,68.774076118776
21,WMT,2016-11-30,68.540514801831
22,WMT,2016-11-29,69.455296626532
23,WMT,2016-11-28,69.280125638823
24,WMT,2016-11-25,69.319052524981
25,WMT,2016-11-23,68.929783663406
26,WMT,2016-11-22,68.23883143411
27,WMT,2016-11-21,67.508952318657
28,WMT,2016-11-18,66.701219430889
29,WMT,2016-11-17,67.333781330948
30,WMT,2016-11-16,69.474760069611
31,WMT,2016-11-15,69.503955234229
32,WMT,2016-11-14,68.598905131067
33,WMT,2016-11-11,69.319052524981
34,WMT,2016-11-10,69.474760069611
35,WMT,2016-11-09,69.192540144969
36,WMT,2016-11-08,67.917684623311
37,WMT,2016-11-07,67.907952901771
38,WMT,2016-11-04,67.30458616633
39,WMT,2016-11-03,67.761977078681
40,WMT,2016-11-02,67.586806090972
41,WMT,2016-11-01,67.440830267881
42,WMT,2016-10-31,68.141514218716
43,WMT,2016-10-28,68.112319054098
44,WMT,2016-10-27,67.956611509468
45,WMT,2016-10-26,67.723050192523
46,WMT,2016-10-25,67.499220597117
47,WMT,2016-10-24,67.333781330948
48,WMT,2016-10-21,66.506585000101
49,WMT,2016-10-20,66.886122140137
50,WMT,2016-10-19,67.041829684767
51,WMT,2016-10-18,67.022366241688
52,WMT,2016-10-17,66.389804341628
53,WMT,2016-10-14,66.613633937034
54,WMT,2016-10-13,66.399536063168
55,WMT,2016-10-12,65.650193504636
56,WMT,2016-10-11,65.58207145386
57,WMT,2016-10-10,66.156243024683
58,WMT,2016-10-07,66.856926975519
59,WMT,2016-10-06,67.499220597117
60,WMT,2016-10-05,69.747248272713
61,WMT,2016-10-04,69.825102045028
62,WMT,2016-10-03,70.078126805052
63,WMT,2016-09-30,70.185175741985
64,WMT,2016-09-29,68.832466448012
65,WMT,2016-09-28,69.864028931186
66,WMT,2016-09-27,70.389541894312
67,WMT,2016-09-26,69.698589665017
68,WMT,2016-09-23,70.409005337391
69,WMT,2016-09-22,70.331151565076
70,WMT,2016-09-21,70.253297792761
71,WMT,2016-09-20,70.039199918895
72,WMT,2016-09-19,70.155980577367
73,WMT,2016-09-16,70.915054857439
74,WMT,2016-09-15,70.457663945088
75,WMT,2016-09-14,69.601272449623
76,WMT,2016-09-13,69.542882120387
77,WMT,2016-09-12,70.010004754277
78,WMT,2016-09-09,68.414002421819
79,WMT,2016-09-08,69.902955817343
80,WMT,2016-09-07,70.126785412749
81,WMT,2016-09-06,71.041567237451
82,WMT,2016-09-02,70.554981160482
83,WMT,2016-09-01,70.885859692821
84,WMT,2016-08-31,69.523418677308
85,WMT,2016-08-30,69.396906297296
86,WMT,2016-08-29,69.48449179115
87,WMT,2016-08-26,69.231467031127
88,WMT,2016-08-25,69.309320803442
89,WMT,2016-08-24,70.292224678919
